Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,leadership_style
1,4,2,1,1,4,5,1,1,2,2,1,2,1,1,4,3,5,4,3,2,4,4,1,5,5,Coaching
3,3,3,1,4,5,3,1,1,5,3,5,4,5,4,4,3,1,4,1,2,1,4,5,5,4,Bureaucratic
5,3,5,3,5,5,5,5,1,1,2,5,4,1,3,4,2,4,5,2,2,5,3,3,1,4,Delegative
1,2,5,5,5,3,3,2,3,5,3,2,4,4,3,1,3,1,4,3,5,4,1,4,4,1,Bureaucratic
5,1,4,2,3,3,2,5,5,3,5,3,2,2,2,1,2,2,4,5,1,2,4,5,1,3,Visionary
4,5,1,5,5,5,1,1,3,3,3,2,5,3,5,4,2,2,2,4,4,2,1,2,1,1,Participative
2,2,4,3,5,3,3,2,5,3,3,4,4,1,4,5,2,4,5,1,4,4,1,5,5,4,Bureaucratic
3,5,5,4,1,1,5,1,2,2,4,5,3,2,5,5,2,3,3,2,5,1,2,1,3,3,Visionary
5,1,2,5,3,1,5,5,2,1,1,5,2,3,1,4,2,2,2,2,2,4,3,3,1,2,Transformational
3,1,4,4,3,2,2,3,4,5,1,5,1,3,4,3,4,1,5,3,2,1,2,4,2,1,Transactional
1,4,4,4,5,1,5,5,4,5,1,4,1,5,3,1,4,1,1,3,3,5,1,5,4,2,Bureaucratic
5,3,4,5,1,3,5,4,5,5,1,2,3,4,3,5,1,4,1,3,5,2,1,1,5,5,Pacesetting
2,5,1,1,3,4,1,3,1,5,5,4,3,5,4,2,1,3,4,5,1,3,1,1,4,1,Coaching
2,3,3,1,2,1,1,4,4,2,1,5,5,1,3,1,2,5,3,3,3,2,4,1,2,5,Delegative
1,4,5,2,4,5,1,1,2,1,5,5,3,3,3,2,2,3,4,4,1,4,2,2,1,1,Authoritarian
2,1,2,2,4,2,2,2,5,1,2,5,3,4,4,4,5,3,1,4,3,4,1,4,1,4,Pacesetting
2,5,3,5,5,2,1,3,4,4,3,4,4,1,3,2,1,2,3,2,4,2,5,3,1,5,Pacesetting
1,1,3,4,5,1,5,5,3,3,2,1,5,3,4,1,4,1,5,4,4,3,4,3,3,4,Bureaucratic
4,5,4,4,2,5,4,3,3,3,2,3,1,3,4,4,2,1,5,2,4,5,2,1,4,1,Transformational
4,1,3,2,3,2,2,5,2,2,1,3,4,5,2,5,5,2,1,5,1,4,4,4,3,4,Pacesetting
3,2,5,3,1,3,2,2,3,2,5,1,3,1,1,5,4,2,1,1,4,4,4,4,5,2,Coaching
2,2,5,1,5,4,2,4,5,4,1,5,2,2,5,2,2,3,1,2,4,2,2,1,3,2,Participative
5,2,3,5,2,2,2,3,3,5,1,4,1,2,2,5,4,2,5,4,1,4,1,3,4,5,Visionary
5,1,1,4,1,2,1,4,4,2,1,1,3,5,2,5,5,5,3,3,3,2,1,1,2,4,Delegative
3,4,4,2,5,2,5,3,4,5,5,3,2,2,4,1,1,3,3,2,3,5,2,1,2,4,Bureaucratic
3,3,5,1,5,5,3,5,3,3,5,1,4,1,4,5,2,5,4,5,1,4,4,2,1,1,Transformational
